r,error
8,0.977982
8,0.959053
8,0.823116
8,0.915738
8,0.780592
8,0.936365
8,0.653797
8,0.962961
8,0.990540
8,0.977816
8,0.883642
8,0.937103
8,0.967341
8,0.955445
8,0.949034
8,0.947995
8,3.087421
8,0.953324
8,0.939934
8,0.907439
8,0.884866
8,0.164379
8,0.940528
8,0.892022
8,0.891772
8,0.979982
8,0.452254
8,0.992893
8,0.973825
8,0.901331
8,0.909727
8,0.943959
8,0.976830
8,0.920200
8,0.912698
8,0.961286
8,0.895366
8,0.974951
8,0.925066
8,0.981165
8,0.940679
8,0.972051
8,0.974025
8,0.982038
8,0.956824
8,0.953094
8,0.818270
8,0.951435
8,0.632833
8,0.957329
8,0.955659
8,0.994194
8,0.938897
8,0.043111
8,0.243942
8,0.904322
8,0.988706
8,0.979202
8,0.954419
8,0.968382
8,0.935243
8,1.143596
8,0.974856
8,0.977529
8,0.967434
8,0.949105
8,0.988718
8,0.939153
8,0.913456
8,0.966940
8,0.949202
8,0.987283
8,0.987070
8,0.487593
8,0.993463
8,0.951155
8,0.899843
8,0.984183
8,0.890159
8,4.811657
8,0.219618
8,0.980326
8,0.287850
8,1.784327
8,0.959831
8,0.949964
8,0.888249
8,0.840009
8,0.930657
8,0.966858
8,0.970546
8,0.967846
8,0.884138
8,0.934795
8,0.984223
8,0.986694
8,0.739766
8,0.960245
8,0.978300
8,0.968835
16,6.641599
16,0.928478
16,0.955154
16,0.455431
16,0.903635
16,0.937729
16,0.916176
16,0.939201
16,0.945844
16,0.920793
16,0.408721
16,0.580615
16,0.936208
16,0.949077
16,1.369800
16,0.945683
16,0.582035
16,0.889516
16,0.874790
16,0.795100
16,0.906478
16,0.755818
16,0.976448
16,0.963915
16,0.992008
16,4.706079
16,0.956460
16,0.956295
16,0.892143
16,0.968261
16,0.843438
16,0.989968
16,0.897446
16,0.873189
16,0.981522
16,0.865366
16,0.869101
16,0.731133
16,0.861517
16,0.969147
16,0.919194
16,0.940267
16,0.958693
16,0.965830
16,0.959569
16,0.973444
16,0.004968
16,0.920948
16,0.929586
16,0.064712
16,0.988422
16,0.922420
16,0.924013
16,0.904860
16,0.910348
16,0.938109
16,0.556678
16,0.871223
16,0.954320
16,1.678525
16,0.909188
16,0.962511
16,0.978817
16,0.919861
16,7.779304
16,0.941523
16,0.639733
16,3.906762
16,0.949098
16,0.935705
16,0.851470
16,0.902889
16,0.963187
16,0.907155
16,0.946653
16,0.958826
16,0.953261
16,0.946728
16,0.751490
16,0.806558
16,0.818910
16,0.527170
16,0.893467
16,0.970975
16,0.922035
16,0.703149
16,1.133640
16,0.634936
16,0.922133
16,0.906764
16,0.917925
16,0.665334
16,0.979456
16,0.823823
16,0.864066
16,0.961068
16,0.832275
16,0.968314
16,0.938011
16,0.968142
32,0.814958
32,0.856488
32,0.748722
32,0.701342
32,1.095681
32,0.860406
32,0.872427
32,0.799883
32,0.854634
32,0.908784
32,0.785964
32,0.817488
32,0.699410
32,0.965660
32,0.933698
32,0.911721
32,0.879546
32,0.990825
32,0.893651
32,0.564846
32,0.962772
32,0.845541
32,0.856199
32,0.860587
32,0.926495
32,0.868346
32,0.842443
32,0.752523
32,0.790930
32,0.959428
32,0.542312
32,0.788683
32,0.910625
32,0.858178
32,0.920613
32,0.892393
32,0.865337
32,0.830619
32,0.803796
32,0.900273
32,2.393467
32,0.915935
32,0.183042
32,0.900623
32,0.921026
32,0.816471
32,0.309249
32,0.904895
32,0.809156
32,0.947792
32,0.405961
32,0.882659
32,0.947337
32,0.891626
32,0.893125
32,0.822322
32,0.468214
32,0.929275
32,0.756114
32,15.464912
32,0.785084
32,0.847575
32,0.846987
32,0.858911
32,0.660916
32,0.670967
32,0.590187
32,0.783843
32,0.688145
32,0.884225
32,0.882287
32,0.280655
32,0.456256
32,0.125986
32,0.463268
32,0.361027
32,0.598121
32,0.921341
32,0.845808
32,0.866833
32,0.832240
32,0.950912
32,0.916994
32,0.573668
32,0.933596
32,0.906066
32,0.911956
32,0.852062
32,0.880300
32,0.073011
32,0.820189
32,0.946696
32,0.955116
32,0.948069
32,0.877123
32,0.687029
32,0.931061
32,0.855991
32,0.634913
32,0.938486
64,0.850730
64,0.160293
64,0.775090
64,0.847869
64,0.764381
64,0.757177
64,3.802764
64,0.758889
64,0.803918
64,7.664856
64,0.523466
64,0.833283
64,0.507710
64,0.948681
64,14.966641
64,0.371543
64,0.789850
64,7.156945
64,0.653934
64,0.473730
64,0.737908
64,0.923210
64,0.431357
64,0.904955
64,1.602224
64,0.793036
64,0.485198
64,2.131512
64,0.295186
64,0.919686
64,0.888495
64,0.320071
64,0.532020
64,0.377322
64,2.487571
64,0.879116
64,0.790671
64,0.934290
64,0.920616
64,0.831837
64,0.843751
64,0.891003
64,0.540474
64,0.811836
64,0.887968
64,0.270833
64,0.741036
64,0.846414
64,0.909991
64,0.559656
64,0.866186
64,0.062903
64,0.647276
64,0.800385
64,0.575344
64,0.783639
64,0.773249
64,0.299192
64,0.935984
64,0.271898
64,0.864013
64,0.727968
64,0.845242
64,0.405988
64,0.854178
64,0.803015
64,0.791166
64,0.575164
64,0.857360
64,0.755451
64,0.814383
64,0.827684
64,0.955092
64,0.817047
64,0.685245
64,6.952861
64,0.848069
64,0.706645
64,0.699808
64,0.801176
64,0.381167
64,0.757072
64,0.796961
64,0.758150
64,0.371060
64,0.273416
64,0.846759
64,0.730415
64,0.765468
64,0.936392
64,0.853666
64,0.763791
64,0.891359
64,0.869033
64,2.795797
64,0.704509
64,5.095898
64,0.164199
64,0.685348
64,0.194308
128,0.419517
128,0.743735
128,0.795646
128,0.503361
128,0.649886
128,0.604480
128,0.686781
128,0.854567
128,1.189718
128,0.679416
128,0.339801
128,0.671785
128,0.806457
128,0.830425
128,0.527107
128,0.172554
128,0.764345
128,0.269312
128,0.812480
128,0.309163
128,0.633076
128,0.756406
128,0.296599
128,0.333298
128,0.695733
128,0.165341
128,2.234349
128,0.514069
128,0.626670
128,0.306223
128,0.858626
128,0.512366
128,0.420401
128,0.763038
128,0.446059
128,0.847377
128,0.799417
128,1.297262
128,0.888666
128,0.868031
128,0.850588
128,0.458393
128,3.191240
128,0.757281
128,0.444697
128,0.308489
128,0.948634
128,0.738778
128,0.733268
128,7.639040
