r,error
128,0.685031
128,0.738711
128,0.787333
128,0.678541
128,1.879169
128,0.789393
128,0.370234
128,0.483160
128,5.770787
128,0.737434
128,0.044432
128,0.536386
128,1.679576
128,0.748599
128,0.849447
128,0.789208
128,2.544263
128,0.788860
128,0.495807
128,0.320217
128,0.774259
128,0.461167
128,0.716292
128,0.633051
128,0.749979
128,0.780845
128,0.713383
128,0.694686
128,0.653773
128,0.625026
128,0.694734
128,0.528203
128,1.048596
128,11.813275
128,0.044332
128,0.659502
128,0.616118
128,0.768651
128,0.511890
128,0.492960
128,0.584105
128,0.688812
128,0.639239
128,0.877613
128,0.664723
128,0.599827
128,0.515835
128,0.443435
128,3.654063
128,0.708885
256,0.314109
256,0.420564
256,0.635832
256,0.542593
256,0.588286
256,0.617906
256,1.720262
256,1.080120
256,0.676420
256,0.750377
256,0.374491
256,0.347259
256,0.585731
256,0.349545
256,0.584422
256,0.482767
256,0.879220
256,0.547735
256,0.573688
256,0.593838
256,0.337830
256,0.536410
256,0.571266
256,1.443957
256,1.702970
256,0.032030
256,0.437827
256,0.246304
256,0.669310
256,0.672046
256,0.603283
256,0.740823
256,0.426920
256,0.332590
256,0.800117
256,0.888226
256,0.283199
256,0.246235
256,0.801600
256,0.454809
256,0.406584
256,0.620247
256,0.816534
256,0.694387
256,0.024413
256,0.561129
256,0.598583
256,0.717394
256,0.672470
256,0.392498
256,0.273698
256,0.427814
256,0.495803
256,0.423696
256,1.006287
256,0.699467
256,1.301993
256,0.048086
256,3.112231
256,7.803004
256,0.505530
256,1.029402
256,0.618763
256,0.451365
256,0.826182
256,0.037941
256,0.615657
256,0.512756
256,0.094901
256,0.586829
256,0.663443
256,0.660415
256,0.882223
256,0.266679
256,0.629807
256,0.621862
256,0.166234
256,0.805825
256,0.197702
256,0.320936
256,0.520784
256,1.552762
256,0.740453
256,0.666614
256,0.311511
256,1.198294
256,0.673543
256,0.627831
256,0.133700
256,0.373896
256,0.337441
256,0.454542
256,0.583874
256,0.428971
256,0.734257
256,0.346907
256,1.109865
256,0.772552
256,0.712691
256,0.279621
512,0.300594
512,0.263880
512,0.366120
512,0.078997
512,0.237772
512,0.084508
512,0.345124
512,0.060181
512,1.837849
512,8.869670
512,0.744484
512,0.867761
512,0.585347
512,0.032439
512,0.231464
512,0.306060
512,0.808926
512,0.722491
512,0.287723
512,1.684123
512,0.307749
512,0.463034
512,0.101122
512,0.350067
512,0.611182
512,0.526097
512,0.181865
512,0.063709
512,0.577179
512,0.286296
512,0.673969
512,0.225846
512,0.328272
512,0.694985
512,0.355298
512,0.348420
512,0.511313
512,0.302295
512,0.275946
512,0.311257
512,0.172335
512,0.698044
512,0.234990
512,0.350767
512,0.394430
512,0.488567
512,0.802576
512,0.003125
512,0.331463
512,0.414234
512,0.250186
512,0.098609
512,0.158909
512,0.135997
512,0.647373
512,0.434076
512,0.366556
512,0.475767
512,0.167861
512,0.054312
512,0.692716
512,0.581824
512,0.416208
512,0.439011
512,0.535623
512,0.454274
512,0.166868
512,0.192863
512,0.527150
512,0.133894
512,0.282399
512,0.395835
512,0.608938
512,0.456429
512,0.156079
512,0.010266
512,0.008255
512,0.590212
512,0.522509
512,0.346302
512,0.438771
512,0.539025
512,0.475661
512,0.355540
512,4.944571
512,0.551245
512,0.035604
512,0.143313
512,0.610658
512,0.654388
512,0.127195
512,1.945358
512,0.615265
512,1.597393
512,0.444388
512,0.416527
512,0.418010
512,0.474370
512,0.534397
512,0.634002
