n,time
64,82455867
128,68425732
256,73023747
512,68724547
1024,72893807
2048,71046375
4096,73191774
8192,67406275
16384,85348736
32768,70420616
65536,70098187
131072,81710554
262144,93816234
524288,127790117
1048576,96466481
2097152,148072428
4194304,158959359
8388608,162637105
16777216,207494065
33554432,179064146
67108864,244223853
134217728,303259022
268435456,381350449
