n,time
639,35963
640,35982
641,35900
642,35898
643,35690
644,35870
645,35916
646,35901
647,35890
648,35790
649,35791
650,35895
651,35702
652,35931
653,35867
