n,time
639,5344
640,5368
641,5321
642,5353
643,5333
644,5333
645,5329
646,5330
647,5327
648,5326
649,5325
650,5350
651,5457
652,5311
653,5306
654,5334
655,5355
656,5331
657,5368
658,5332
659,5339
660,5299
661,5355
662,5350
663,5363
664,5356
665,5365
666,5327
667,5332
668,5331
669,5306
670,5331
671,5350
672,5328
673,5344
674,5327
675,5335
676,5331
677,5333
678,5343
679,5353
680,5339
681,5324
682,5333
683,5325
684,5348
685,5333
686,5335
687,5276
688,5328
689,5348
690,5329
691,5334
692,5333
693,5345
694,5332
695,5349
696,5326
697,5332
698,5333
699,5326
700,5335
701,5345
702,5299
703,5330
704,5362
705,5336
706,5337
707,5349
708,5316
709,5328
710,5352
711,5333
712,5299
713,5334
714,5324
715,5373
716,5332
717,5345
718,5332
719,5328
720,5329
721,5328
722,5326
723,5328
724,5353
725,5307
726,5293
727,5296
728,5253
729,5265
730,5283
731,5349
732,5338
733,5354
734,5330
735,5334
736,5344
737,5283
738,5424
739,5328
740,5334
741,5325
742,5337
743,5465
744,5256
745,5339
746,5362
747,5344
748,5372
749,5360
750,5384
751,5344
752,5342
753,5336
754,5307
755,5267
756,5913
757,5329
758,5345
759,5348
760,5251
761,5273
762,5341
763,5323
764,5346
765,5330
766,5345
767,5328
768,5311
769,5330
770,5360
771,5338
772,5353
773,5364
774,5354
775,5355
776,5314
777,5461
778,5337
779,5372
780,5355
781,5342
782,5331
783,5351
784,5329
785,5347
786,5314
787,5362
788,5335
789,5372
790,5362
791,5339
792,5335
793,5347
794,5332
795,5300
796,5354
797,5338
798,5353
799,5320
800,5301
801,5303
802,5284
803,5293
804,5363
805,5354
806,5347
807,5342
808,5350
809,5348
810,5350
811,5333
812,5226
813,5260
814,5354
815,5346
816,5331
817,5313
818,5346
819,5331
820,5337
821,5330
822,5359
823,5356
824,5327
825,5373
826,5345
827,5346
828,5335
829,5339
830,5329
831,5318
832,5278
833,5331
834,5332
835,5332
836,5327
837,5325
838,5330
839,5328
840,5329
841,5396
842,5487
843,5334
844,5355
845,5343
846,5230
847,5329
848,5342
849,5332
850,5479
851,5351
852,5362
853,5309
854,5334
855,5275
856,5331
857,5275
858,5335
859,5345
860,5335
861,5909
862,5316
863,5243
864,5335
865,5360
866,5366
867,5351
868,5356
869,5303
870,5323
871,5283
872,5341
873,5347
874,5333
875,5338
876,5335
877,5348
878,5346
879,5336
880,5336
881,5328
882,5330
883,5331
884,5292
885,5259
886,5297
887,5323
888,5352
889,5336
890,5369
891,5346
892,5362
893,5355
894,5332
895,5372
896,5322
897,5337
898,5260
899,5330
900,5360
901,5348
902,5257
903,5327
904,5330
905,5341
906,5330
907,5366
908,5363
909,5336
910,5346
911,5351
912,5376
913,5358
914,5344
915,5337
916,5340
917,5332
918,5238
919,5343
920,5235
921,5334
922,5340
923,5811
924,5353
925,5334
926,5336
927,5349
928,5307
929,5336
930,5356
931,5341
932,5289
933,5362
934,5364
935,5318
936,5350
937,5332
938,5334
939,5351
940,5313
941,5366
942,5367
943,5334
944,5359
945,5342
946,5364
947,5354
948,5337
949,5333
950,5332
951,5326
952,5335
953,5331
954,5328
955,5339
956,5286
957,5317
958,5326
959,5319
960,5352
961,5331
962,5335
963,5326
964,5301
965,5334
966,5313
967,5357
968,5328
969,5346
970,5366
971,5349
972,5306
973,5333
974,5293
975,5331
976,5352
977,5328
978,5337
979,5331
980,5340
981,5339
982,5338
983,5341
984,5337
985,5335
986,5333
987,5328
988,5331
989,5251
990,5304
991,5324
992,5360
993,5336
994,5358
995,5350
996,5311
997,5356
998,5330
999,5329
1000,5331
1001,5362
1002,5330
1003,5336
1004,5334
1005,5358
1006,5347
1007,5366
1008,5360
1009,5338
1010,5362
1011,5345
1012,5273
1013,5326
1014,5349
1015,5340
1016,5349
1017,5330
1018,5347
1019,5327
1020,5335
1021,5325
1022,5331
1023,5324
1024,5334
1025,5331
1026,5333
1027,5320
1028,5319
1029,5349
1030,5329
1031,5342
1032,5342
1033,5320
1034,5326
1035,5348
1036,5329
1037,5339
1038,5333
1039,5314
1040,5352
1041,5327
1042,5349
1043,5363
1044,5378
1045,5344
1046,5369
1047,5320
1048,5352
1049,5355
1050,5360
1051,5341
1052,5269
1053,5327
1054,5330
1055,5330
1056,5364
1057,5340
1058,5349
1059,5340
1060,5342
1061,5354
1062,5329
1063,5345
1064,5329
1065,5371
1066,5337
1067,5335
1068,5324
1069,5346
1070,5333
1071,5327
1072,5356
1073,5332
1074,5285
1075,5296
1076,5350
1077,5328
1078,5362
1079,5327
1080,5338
1081,5325
1082,5337
1083,5387
1084,5331
1085,5338
1086,5325
1087,5348
1088,5314
1089,5323
1090,5326
1091,5353
1092,5360
1093,5350
1094,5352
1095,5361
1096,5326
1097,5302
1098,5323
1099,5348
1100,5349
1101,5367
1102,5332
1103,5353
1104,5336
1105,5337
1106,5330
1107,5335
1108,5331
1109,5328
1110,5333
1111,5295
1112,5353
1113,5334
1114,5336
1115,5328
1116,5335
1117,5330
1118,5337
1119,5330
1120,5917
1121,5301
1122,5356
1123,5329
1124,5332
1125,5337
1126,5351
1127,5352
1128,5338
1129,5333
1130,5326
1131,5331
1132,5333
1133,5280
1134,5261
1135,5333
1136,5348
1137,5333
1138,5224
1139,5330
1140,5354
1141,5344
1142,5353
1143,5334
1144,5306
1145,5259
1146,5256
1147,5234
1148,5348
1149,5354
1150,5342
1151,5341
1152,5354
1153,5291
1154,5353
1155,5329
1156,5342
1157,5340
1158,5332
1159,5700
1160,5383
1161,5336
1162,5346
1163,5335
1164,5365
1165,5333
1166,5333
1167,5326
1168,5333
1169,5281
1170,5353
1171,5332
1172,5354
1173,5351
1174,5333
1175,5330
1176,5313
1177,5349
1178,5328
1179,5336
1180,5327
1181,5348
1182,5340
1183,5325
1184,5328
1185,5325
1186,5333
1187,5352
1188,5312
1189,5329
1190,5278
1191,5328
1192,5353
1193,5336
1194,5341
1195,5326
1196,5336
1197,5326
1198,5335
1199,5351
1200,5260
1201,5333
1202,5256
1203,5340
1204,5329
1205,5345
1206,5333
1207,5330
1208,5329
1209,5328
1210,5327
1211,5327
1212,5329
1213,5328
1214,5312
1215,5369
1216,5332
1217,5385
1218,5303
1219,5358
1220,5346
1221,5333
1222,5327
1223,5340
1224,5317
1225,5332
1226,5355
1227,5331
1228,5346
1229,5329
1230,5327
1231,5385
1232,5358
1233,5329
1234,5328
1235,5353
1236,5350
1237,5365
1238,5336
1239,5294
1240,5306
1241,5352
1242,5331
1243,5335
1244,5339
1245,5338
1246,5317
1247,5345
1248,5329
1249,5334
1250,5326
1251,5346
1252,5320
1253,5248
1254,5355
1255,5328
1256,5343
1257,5324
1258,5347
1259,5326
1260,5329
1261,5327
1262,5332
1263,5319
1264,5347
1265,5370
1266,5329
1267,5338
1268,5341
1269,5312
1270,5323
1271,5327
1272,5318
1273,5346
1274,5327
1275,5331
1276,5329
1277,5333
1278,5329
1279,5333
1280,5327
1281,5343
1282,5344
1283,5336
1284,6432
1285,5930
1286,5319
1287,5360
1288,5334
1289,5340
1290,5341
1291,5336
1292,5335
1293,5332
1294,5353
1295,5338
1296,5333
1297,5358
1298,5339
1299,5341
1300,5358
1301,5289
1302,5341
1303,5289
1304,5326
1305,5369
1306,5331
1307,5325
1308,5350
1309,5256
1310,5327
1311,5287
1312,5324
1313,5347
1314,5329
1315,5358
1316,5349
1317,5336
1318,5343
1319,5308
1320,5337
1321,5316
1322,5331
1323,5349
1324,5329
1325,5334
1326,5357
1327,5293
1328,5329
1329,5280
1330,5346
1331,5363
1332,5331
1333,5342
1334,5337
1335,5328
1336,5338
1337,6146
1338,5337
1339,5326
1340,5274
1341,5286
1342,5354
1343,5328
1344,5360
1345,6049
1346,5374
1347,5331
1348,5337
1349,5328
1350,5327
1351,5331
1352,5326
1353,5336
1354,5326
1355,5331
1356,5335
1357,5329
1358,5327
1359,5329
1360,5325
1361,5330
1362,5327
1363,5333
1364,5335
1365,5308
1366,5355
1367,5333
1368,5329
1369,5339
1370,5411
1371,5349
1372,5361
1373,5363
1374,5364
1375,5330
1376,5361
1377,5338
1378,5367
1379,5350
1380,5355
1381,5328
1382,5329
1383,5325
1384,5332
1385,5329
1386,5332
1387,5331
1388,5332
1389,5332
1390,5327
1391,5335
1392,5333
1393,5290
1394,5338
1395,5352
1396,5332
1397,5334
1398,5328
1399,5333
1400,5329
1401,5332
1402,5343
1403,5272
1404,5327
1405,5367
1406,5327
1407,5338
1408,5329
1409,5333
1410,5327
1411,5330
1412,5324
1413,5332
1414,5326
1415,5333
1416,5336
1417,5332
1418,5331
1419,5331
1420,5327
1421,5330
1422,5323
1423,5335
1424,5326
1425,5358
1426,5320
1427,5263
1428,5351
1429,5331
1430,5340
1431,5330
1432,5328
1433,5326
1434,5335
1435,5329
1436,5329
1437,5326
1438,5330
1439,5330
1440,5350
1441,5294
1442,5351
1443,5334
1444,5335
1445,5329
1446,5325
1447,5376
1448,5326
1449,5331
1450,5340
1451,5295
1452,5349
1453,5356
1454,5330
1455,5342
1456,5365
1457,5335
1458,5327
1459,5360
1460,5341
1461,5339
1462,5328
1463,5329
1464,5330
1465,5329
1466,5334
1467,5328
1468,5328
1469,5331
1470,5324
1471,5255
1472,5351
1473,5333
1474,5331
1475,5327
1476,5352
1477,5339
1478,5339
1479,5327
1480,5332
1481,5327
1482,5331
1483,5320
1484,5333
1485,5294
1486,5354
1487,5328
1488,5329
1489,5329
1490,5332
1491,5327
1492,5335
1493,5327
1494,5278
1495,5320
1496,5234
1497,5353
1498,5333
1499,5337
1500,5339
1501,5316
1502,5322
1503,5383
1504,5328
1505,5360
1506,5334
1507,5357
1508,5337
1509,5335
1510,5338
1511,5258
1512,5355
1513,5329
1514,5340
1515,5331
1516,5338
1517,5332
1518,5299
1519,5355
1520,5329
1521,5332
1522,5310
1523,5350
