n,time
64,78565414
128,70948399
256,78188637
512,69849784
1024,76809790
2048,72530810
4096,69660446
8192,67090801
16384,67498168
32768,75082197
65536,70232012
131072,72427190
262144,112722071
524288,106557530
1048576,88203785
2097152,78535707
4194304,78738572
8388608,73418219
16777216,75103382
33554432,80270446
67108864,107284807
134217728,112921740
268435456,84240278
