r,error
128,0.073098
128,0.009415
128,0.092521
128,0.101852
128,0.042190
128,0.089297
128,0.199267
128,0.035358
128,0.185823
128,0.062521
128,0.017862
128,0.172522
128,0.026057
128,0.018681
128,0.013415
128,0.095288
128,0.202023
128,0.031289
128,0.178504
128,0.090806
128,0.085909
128,0.215430
128,0.125217
128,0.002625
128,0.110611
128,0.080307
128,0.092315
128,0.104591
128,0.291361
128,0.001095
128,0.183758
128,0.096412
128,0.202644
128,0.017963
128,0.257660
128,0.067560
128,0.013031
128,0.326066
128,0.111657
128,0.008090
128,0.096984
128,0.025337
128,0.094785
128,0.217876
256,0.076049
256,0.012217
256,0.057563
256,0.017968
256,0.144227
256,0.107071
256,0.022043
256,0.007722
256,0.003786
256,0.062872
256,0.119781
256,0.080298
256,0.106164
256,0.025112
256,0.131104
256,0.177739
256,0.069549
256,0.041883
256,0.165581
256,0.034972
256,0.053079
256,0.126192
256,0.074696
256,0.111573
256,0.073309
256,0.057907
256,0.077295
256,0.211295
256,0.127453
256,0.014172
256,0.056966
256,0.107946
256,0.036903
256,0.055727
256,0.050884
256,0.104632
256,0.097220
256,0.051684
256,0.137384
256,0.058262
256,0.043420
256,0.013656
256,0.067037
256,0.065149
256,0.008248
256,0.033501
256,0.161630
256,0.018788
256,0.002516
256,0.061464
256,0.069498
256,0.040790
256,0.025590
256,0.145875
256,0.032129
256,0.125082
256,0.164048
256,0.019110
256,0.020817
256,0.068277
256,0.236385
256,0.047061
256,0.081423
256,0.091710
256,0.119226
256,0.017958
256,0.074767
256,0.044310
256,0.102337
256,0.075726
256,0.137671
256,0.038627
256,0.047210
256,0.090921
256,0.110467
256,0.007176
256,0.027493
256,0.055264
256,0.001765
256,0.004099
256,0.054673
256,0.006632
256,0.015609
256,0.059591
256,0.026426
256,0.073385
256,0.043323
256,0.017279
256,0.123023
256,0.100683
256,0.086716
256,0.033198
256,0.063934
256,0.051487
256,0.025286
256,0.048713
256,0.004479
256,0.041946
256,0.116583
256,0.028323
512,0.061720
512,0.025391
512,0.036793
512,0.005109
512,0.013622
512,0.020458
512,0.052150
512,0.137327
512,0.066525
512,0.025756
512,0.078073
512,0.055022
512,0.027621
512,0.046755
512,0.008091
512,0.080406
512,0.070234
512,0.099610
512,0.064863
512,0.010948
512,0.002765
512,0.001246
512,0.030930
512,0.051846
512,0.019489
512,0.000620
512,0.013287
512,0.010068
512,0.002594
512,0.005048
512,0.079840
512,0.054063
512,0.039859
512,0.059478
512,0.051743
512,0.068523
512,0.162455
512,0.062589
512,0.135060
512,0.111510
512,0.028941
512,0.115708
512,0.091820
512,0.023333
512,0.012062
512,0.041739
512,0.137318
512,0.150610
512,0.055200
512,0.124096
512,0.057390
512,0.014342
512,0.068450
512,0.052929
512,0.014877
512,0.003665
512,0.095365
512,0.088688
512,0.035767
512,0.026841
512,0.009478
512,0.078315
512,0.033532
512,0.022501
512,0.048798
512,0.068728
512,0.053175
512,0.042484
512,0.057786
512,0.022253
512,0.115906
512,0.062163
512,0.048141
512,0.019166
512,0.067243
512,0.006133
512,0.041311
512,0.007413
512,0.027448
512,0.004278
512,0.081199
512,0.005002
512,0.048898
512,0.009443
512,0.018749
512,0.057745
512,0.110692
512,0.044571
512,0.001956
512,0.010794
512,0.025643
512,0.051972
512,0.015619
512,0.030838
512,0.021338
512,0.040516
512,0.005512
512,0.095168
512,0.036433
512,0.066626
