algorithm,n,build,query
RedBlackSearchTree,2,0,0
HashingWithChaining,2,0,0
PerfectHashing,2,0,0
RedBlackSearchTree,2,0,0
HashingWithChaining,2,0,0
PerfectHashing,2,0,0
RedBlackSearchTree,2,0,0
HashingWithChaining,2,0,0
PerfectHashing,2,0,0
RedBlackSearchTree,2,0,0
HashingWithChaining,2,0,0
PerfectHashing,2,0,0
RedBlackSearchTree,2,0,0
HashingWithChaining,2,0,0
PerfectHashing,2,0,0
RedBlackSearchTree,4,0,0
HashingWithChaining,4,0,0
PerfectHashing,4,0,0
RedBlackSearchTree,4,0,0
HashingWithChaining,4,0,0
PerfectHashing,4,0,0
RedBlackSearchTree,4,0,0
HashingWithChaining,4,0,0
PerfectHashing,4,0,0
RedBlackSearchTree,4,0,0
HashingWithChaining,4,0,0
PerfectHashing,4,0,0
RedBlackSearchTree,4,0,0
HashingWithChaining,4,0,0
PerfectHashing,4,0,0
RedBlackSearchTree,8,0,0
HashingWithChaining,8,0,0
PerfectHashing,8,0,0
RedBlackSearchTree,8,0,0
HashingWithChaining,8,0,0
PerfectHashing,8,0,0
RedBlackSearchTree,8,0,0
HashingWithChaining,8,0,0
PerfectHashing,8,0,0
RedBlackSearchTree,8,0,0
HashingWithChaining,8,0,0
PerfectHashing,8,0,0
RedBlackSearchTree,8,0,0
HashingWithChaining,8,0,0
PerfectHashing,8,0,0
RedBlackSearchTree,16,0,0
HashingWithChaining,16,0,0
PerfectHashing,16,0,0
RedBlackSearchTree,16,0,0
HashingWithChaining,16,0,0
PerfectHashing,16,0,0
RedBlackSearchTree,16,0,0
HashingWithChaining,16,0,0
PerfectHashing,16,0,0
RedBlackSearchTree,16,0,0
HashingWithChaining,16,0,0
PerfectHashing,16,0,0
RedBlackSearchTree,16,0,0
HashingWithChaining,16,0,0
PerfectHashing,16,0,0
RedBlackSearchTree,32,0,0
HashingWithChaining,32,0,0
PerfectHashing,32,0,0
RedBlackSearchTree,32,0,0
HashingWithChaining,32,0,0
PerfectHashing,32,0,0
RedBlackSearchTree,32,0,0
HashingWithChaining,32,0,0
PerfectHashing,32,0,0
RedBlackSearchTree,32,0,0
HashingWithChaining,32,0,0
PerfectHashing,32,0,0
RedBlackSearchTree,32,0,0
HashingWithChaining,32,0,0
PerfectHashing,32,0,0
RedBlackSearchTree,64,0,0
HashingWithChaining,64,0,0
PerfectHashing,64,0,0
RedBlackSearchTree,64,0,0
HashingWithChaining,64,0,0
PerfectHashing,64,0,0
RedBlackSearchTree,64,0,0
