n,count
1024,5
1024,6
1024,5
1024,6
1024,5
2048,5
2048,5
2048,5
2048,6
2048,5
4096,6
4096,8
4096,6
4096,6
4096,8
8192,7
8192,7
8192,7
8192,7
8192,6
16384,8
16384,7
16384,7
16384,7
16384,7
32768,7
32768,7
32768,8
32768,7
32768,7
65536,7
65536,8
65536,8
65536,8
65536,8
131072,9
131072,8
131072,9
131072,8
131072,9
262144,9
262144,8
262144,8
262144,10
262144,9
524288,9
524288,13
524288,10
524288,9
524288,10
1048576,19
1048576,19
1048576,17
1048576,17
1048576,17
2097152,33
